name,version,vendor,install_date
mesa-libGL,18.3.4,"Red Hat, Inc.",
libfontenc,1.1.3,"Red Hat, Inc.",
kernel-tools,3.10.0,"Red Hat, Inc.",
mesa-libgbm,18.3.4,"Red Hat, Inc.",
pcsc-lite-libs,1.8.8,"Red Hat, Inc.",
xorg-x11-font-utils,7.5,"Red Hat, Inc.",
copy-jdk-configs,3.3,"Red Hat, Inc.",
libtiff,4.0.3,"Red Hat, Inc.",
java-1.8.0-openjdk-headless,1.8.0.262.b10,"Red Hat, Inc.",
geronimo-jms,1.1.1,"Red Hat, Inc.",
docker-client,1.13.1,"Red Hat, Inc.",
net-snmp-libs,5.7.2,"Red Hat, Inc.",
container-selinux,2.119.2,"Red Hat, Inc.",
docker-rhel-push-plugin,1.13.1,"Red Hat, Inc.",
python-pytoml,0.1.14,"Red Hat, Inc.",
fuse-overlayfs,0.7.2,"Red Hat, Inc.",
avalon-logkit,2.1,"Red Hat, Inc.",
tzdata-java,2020a,"Red Hat, Inc.",
tomcat-el-2.2-api,7.0.76,"Red Hat, Inc.",
java-1.8.0-openjdk,1.8.0.262.b10,"Red Hat, Inc.",
apache-commons-logging,1.1.2,"Red Hat, Inc.",
tomcat-servlet-3.0-api,7.0.76,"Red Hat, Inc.",
javamail,1.4.6,"Red Hat, Inc.",
apache-commons-collections,3.2.1,"Red Hat, Inc.",
apache-commons-dbcp,1.4,"Red Hat, Inc.",
oci-umount,2.5,"Red Hat, Inc.",
mysql-community-libs-compat,8.0.22,Oracle and/or its affiliates,
mysql-community-client-plugins,8.0.22,Oracle and/or its affiliates,
mysql-community-client,8.0.22,Oracle and/or its affiliates,
apache-commons-daemon,1.0.13,"Red Hat, Inc.",
net-snmp-agent-libs,5.7.2,"Red Hat, Inc.",
python-perf,3.10.0,"Red Hat, Inc.",
CollabNet Subversion Edge,5.1.0,CollabNet,
Python 3.11.7 Utility Scripts (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.12.1 Documentation (64-bit),3.12.1150.0,Python Software Foundation,
Python 3.12.1 Tcl/Tk Support (64-bit),3.12.1150.0,Python Software Foundation,
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,Python Software Foundation,
Python 3.12.1 Executables (64-bit),3.12.1150.0,Python Software Foundation,
Python 3.11.7 pip Bootstrap (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.11.7 Core Interpreter (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,Python Software Foundation,
TortoiseSVN 1.7.15.25753 (64 bit),1.7.25753,TortoiseSVN,
Python 3.11.7 Test Suite (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,Python Software Foundation,
Anaconda3 2023.07-1 (Python 3.11.3 64-bit),2023.07,"Anaconda, Inc.",
Miniconda3 py311_23.5.2-0 (Python 3.11.4 64-bit),23.5.2,"Anaconda, Inc.",
Git version 2.23.0.windows.1,2.23.0,The Git Development Community,
Python 3.11.7 Executables (64-bit),3.11.7150.0,Python Software Foundation,
TreeSize Free V4.7 (64 bit),4.7,JAM Software,
Python 3.11.7 Standard Library (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.11.7 Tcl/Tk Support (64-bit),3.11.7150.0,Python Software Foundation,
Python 3.12.1 Core Interpreter (64-bit),3.12.1150.0,Python Software Foundation,
Python 3.11.7 Development Libraries (64-bit),3.11.7150.0,Python Software Foundation,
MySQL Server 5.6,5.6.25,Oracle Corporation,
OpenSSL (64-bit),1.0.0,Shining Light Productions,
Python 3.11.7 Documentation (64-bit),3.11.7150.0,Python Software Foundation,
Node.js,20.11.0,Node.js Foundation,
Python 3.12.1 Add to Path (64-bit),3.12.1150.0,Python Software Foundation,
PyCharm Community Edition 2023.3.2,233.13135.95,JetBrains s.r.o.,
Python 3.12.1 Test Suite (64-bit),3.12.1150.0,Python Software Foundation,
Google Chrome,109.0.5414.168,Google LLC,
Python Launcher,3.11.7150.0,Python Software Foundation,
MySQL Installer - Community,1.4.8.0,Oracle Corporation,
Python Launcher,3.12.1150.0,Python Software Foundation,
Java(TM) SE Development Kit 17.0.10 (64-bit),17.0.10.0,Oracle Corporation,
OpenOffice 4.1.7,4.17.9800,Apache Software Foundation,
Jenkins 2.7,0.2.7,Jenkins project,
Toad for MySQL Freeware 7.7,7.7.0.579,Dell,
Python 3.11.4 Utility Scripts (64-bit),3.11.4150.0,Python Software Foundation,
Python 3.11.4 Tcl/Tk Support (64-bit),3.11.4150.0,Python Software Foundation,
Eclipse Temurin JRE with Hotspot 17.0.11+9 (x64),17.0.11.9,Eclipse Adoptium,
Tenable Nessus (x64),10.8.3.20010,"Tenable, Inc.",
PuTTY release 0.82 (64-bit),0.82.0.0,Simon Tatham,
VMware Tools,12.4.5.23787635,"VMware, Inc.",
Python 3.11.4 Add to Path (64-bit),3.11.4150.0,Python Software Foundation,
Eclipse Temurin JDK with Hotspot 17.0.11+9 (x64),17.0.11.9,Eclipse Adoptium,
Oracle VM VirtualBox 7.0.18,7.0.18,Oracle and/or its affiliates,
Npcap OEM,1.72,Nmap Project,
Microsoft Edge,133.0.3065.69,Microsoft Corporation,
Instana Agent 1.255.288,1.255.288,Instana Inc.,
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532,14.36.32532.0,Microsoft Corporation,
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,
Python 3.11.4 Documentation (64-bit),3.11.4150.0,Python Software Foundation,
Python Launcher,3.11.4150.0,Python Software Foundation,
Python 3.11.4 Core Interpreter (64-bit),3.11.4150.0,Python Software Foundation,
MySQL Installer,1.6.12.0,Oracle Corporation,
Google Chrome,133.0.6943.100,Google LLC,
Metasploit-framework v6.4.12,6.4.12.1,Rapid7 Release Engineering <r7_re@rapid7.com>,
7-Zip 24.06 (x64),24.06,Igor Pavlov,
Strawberry Perl (64-bit),5.38.2002,strawberryperl.com project,
Python 3.11.4 Standard Library (64-bit),3.11.4150.0,Python Software Foundation,
Instana Agent 1.255.288,1.255.288,InstanaHQ,
Python 3.11.4 Development Libraries (64-bit),3.11.4150.0,Python Software Foundation,
Greenshot 1.2.10.6,1.2.10.6,Greenshot,
Python 3.11.4 Test Suite (64-bit),3.11.4150.0,Python Software Foundation,
Anaconda3 2023.09-0 (Python 3.11.5 64-bit),2023.09,"Anaconda, Inc.",
Git,2.46.0,The Git Development Community,
MySQL Workbench 8.0 CE,8.0.38,Oracle Corporation,
Burp Suite Community Edition 2024.10.2,2024.10.2,PortSwigger Web Security,
Python 3.11.4 pip Bootstrap (64-bit),3.11.4150.0,Python Software Foundation,
Python 3.11.4 Executables (64-bit),3.11.4150.0,Python Software Foundation,
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,
7-Zip 24.08 (x64),24.08,Igor Pavlov,
Microsoft Office Professional Plus 2019 - en-us,16.0.18129.20158,Microsoft Corporation,
Mozilla Firefox (x64 en-US),135.0.1,Mozilla,
Office 16 Click-to-Run Extensibility Component 64-bit Registration,16.0.18129.20100,Microsoft Corporation,
Office 16 Click-to-Run Licensing Component,16.0.18129.20158,Microsoft Corporation,
Java 8 Update 411 (64-bit),8.0.4110.9,Oracle Corporation,
Mozilla Maintenance Service,122.0.1,Mozilla,
Microsoft Edge WebView2 Runtime,133.0.3065.69,Microsoft Corporation,
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,
Office 16 Click-to-Run Extensibility Component,16.0.18129.20100,Microsoft Corporation,
VMware Tools,12.3.0.22234872,"VMware, Inc.",
MailEnable Messaging Services for Microsoft Windows,10.48,MailEnable,
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,
Google Chrome,133.0.6943.99,Google LLC,
S3 Browser version 11.5.7,11.5.7,Netsdk Software FZE,
Veeam Installer Service,12.1.2.172,Veeam Software Group GmbH,
Veeam Agent for Microsoft Windows,6.3.0.177,Veeam Software Group GmbH,
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532,14.36.32532.0,Microsoft Corporation,
WinSCP 6.3.2,6.3.2,Martin Prikryl,
Veeam Backup Transport,12.3.0.310,Veeam Software Group GmbH,
Java Auto Updater,2.8.411.9,Oracle Corporation,
podman,4.9.4,"Red Hat, Inc.",
podman-catatonit,4.9.4,"Red Hat, Inc.",
gsettings-desktop-schemas,3.8.2,CentOS,
centos-logos,70.0.6,CentOS,
erlang-hipe,R16B,Fedora Project,
shadow-utils,4.1.5.1,CentOS,
rpm,4.11.1,CentOS,
erlang-otp_mibs,R16B,Fedora Project,
erlang-runtime_tools,R16B,Fedora Project,
erlang-syntax_tools,R16B,Fedora Project,
libuser,0.60,CentOS,
curl,7.29.0,CentOS,
e2fsprogs-libs,1.42.9,CentOS,
dracut-config-rescue,033,CentOS,
postgresql96-server,9.6.9,PostgreSQL Global Development Group,
libgudev1,219,CentOS,
openssl,1.0.2k,CentOS,
libgomp,4.8.3,CentOS,
openssl-libs,1.0.2k,CentOS,
nss-softokn,3.16.2.3,CentOS,
python-httplib2,0.9.2,CentOS,
iptables,1.4.21,CentOS,
pinentry,0.8.1,CentOS,
elfutils-libs,0.160,CentOS,
gobject-introspection,1.36.0,CentOS,
shared-mime-info,1.1,CentOS,
libproxy,0.4.11,CentOS,
libtasn1,3.8,CentOS,
freetype,2.4.11,CentOS,
libteam,1.15,CentOS,
filesystem,3.2,CentOS,
lvm2,2.02.115,CentOS,
nginx-mod-http-xslt-filter,1.12.2,Fedora Project,
python-pycurl,7.19.0,CentOS,
logrotate,3.8.6,CentOS,
nginx-all-modules,1.12.2,Fedora Project,
procps-ng,3.3.10,CentOS,
alsa-lib,1.0.28,CentOS,
rsync,3.1.2,CentOS,
gettext,0.18.2.1,CentOS,
erlang-tools,R16B,Fedora Project,
erlang-asn1,R16B,Fedora Project,
erlang-snmp,R16B,Fedora Project,
libblkid,2.23.2,CentOS,
git,1.8.3.1,CentOS,
erlang-kernel,R16B,Fedora Project,
erlang-compiler,R16B,Fedora Project,
libmount,2.23.2,CentOS,
nettle,2.7.1,CentOS,
less,458,CentOS,
gettext-libs,0.18.2.1,CentOS,
lzo,2.06,CentOS,
ethtool,3.15,CentOS,
bind-license,9.9.4,CentOS,
kbd,1.15.5,CentOS,
jansson,2.4,CentOS,
kernel-tools-libs,3.10.0,,
libaio,0.3.109,CentOS,
plymouth-scripts,0.8.9,CentOS,
expat,2.1.0,CentOS,
glib2,2.54.2,CentOS,
lua,5.1.4,CentOS,
systemd-libs,219,CentOS,
systemd,219,CentOS,
dbus,1.6.12,CentOS,
NetworkManager-libnm,1.0.0,CentOS,
device-mapper,1.02.93,CentOS,
gpg-pubkey,49a499ad,,
cronie-anacron,1.4.11,CentOS,
bcrypt,1.1,Fedora Project,
openssh,6.6.1p1,CentOS,
virt-what,1.13,CentOS,
cryptsetup-libs,1.6.6,CentOS,
fipscheck-lib,1.4.1,CentOS,
plymouth-core-libs,0.8.9,CentOS,
binutils,2.23.52.0.1,CentOS,
avahi-autoipd,0.6.31,CentOS,
libselinux-python,2.2.2,CentOS,
python-urlgrabber,3.10,CentOS,
python-setuptools,0.9.8,CentOS,
dhcp-common,4.2.5,CentOS,
libtomcrypt,1.17,CentOS,
python-keyczar,0.71c,Fedora Project,
rpm-libs,4.11.1,CentOS,
nss-tools,3.16.2.3,CentOS,
python-jinja2,2.8,,
glibc,2.17,CentOS,
tuned,2.4.1,CentOS,
openssh-server,6.6.1p1,CentOS,
e2fsprogs,1.42.9,CentOS,
selinux-policy-targeted,3.13.1,CentOS,
iwl6000g2a-firmware,17.168.5.3,CentOS,
dbus-libs,1.6.12,CentOS,
zlib,1.2.7,CentOS,
linux-firmware,20140911,CentOS,
iwl5000-firmware,8.83.5.1_1,CentOS,
bash,4.2.46,CentOS,
sqlite,3.7.17,CentOS,
file,5.11,CentOS,
libnl3,3.2.21,CentOS,
libidn,1.28,CentOS,
postgresql96,9.6.9,PostgreSQL Global Development Group,
iwl6050-firmware,41.28.5.1,CentOS,
libffi,3.0.13,CentOS,
bzip2-libs,1.0.6,CentOS,
iwl3945-firmware,15.32.2.9,CentOS,
kmod,20,CentOS,
gmp,6.0.0,CentOS,
libgcrypt,1.5.3,CentOS,
cpio,2.11,CentOS,
iwl3160-firmware,22.0.7.0,CentOS,
libnl3-cli,3.2.21,CentOS,
dracut-network,033,CentOS,
iwl2000-firmware,18.168.6.1,CentOS,
postgresql96-libs,9.6.9,PostgreSQL Global Development Group,
centos-release,7,CentOS,
grep,2.20,CentOS,
libcap-ng,0.7.3,CentOS,
gpg-pubkey,442df0f8,,
cyrus-sasl-lib,2.1.26,CentOS,
lyx-fonts,2.2.3,Fedora Project,
xz,5.1.2,CentOS,
initscripts,9.49.41,CentOS,
tar,1.26,CentOS,
btrfs-progs,3.16.2,CentOS,
libgcc,4.8.3,CentOS,
xfsprogs,3.2.1,CentOS,
libsepol,2.1.9,CentOS,
ncurses-libs,5.9,CentOS,
authconfig,6.2.8,CentOS,
iwl6000g2b-firmware,17.168.5.2,CentOS,
parted,3.1,CentOS,
tzdata,2015a,CentOS,
biosdevname,0.6.1,CentOS,
microcode_ctl,2.1,CentOS,
nspr,4.10.6,CentOS,
iwl6000-firmware,9.221.4.1,CentOS,
kbd-misc,1.15.5,CentOS,
xz-libs,5.1.2,CentOS,
kernel,3.10.0,,
nss-softokn-freebl,3.16.2.3,CentOS,
firewalld,0.3.9,CentOS,
libselinux,2.2.2,CentOS,
libuuid,2.23.2,CentOS,
setup,2.8.71,CentOS,
audit-libs,2.4.1,CentOS,
ncurses-base,5.9,CentOS,
iprutils,2.4.3,CentOS,
pcre,8.32,CentOS,
glibc-common,2.17,CentOS,
vim-filesystem,7.4.160,CentOS,
grub2,2.02,,
iwl2030-firmware,18.168.6.1,CentOS,
openssh-clients,6.6.1p1,CentOS,
audit,2.4.1,CentOS,
sudo,1.8.6p7,CentOS,
iwl5150-firmware,8.24.2.2,CentOS,
libdb,5.3.21,CentOS,
htop,2.2.0,Fedora Project,
vim-enhanced,7.4.160,CentOS,
libstdc++,4.8.3,CentOS,
python-pyudev,0.15,CentOS,
python-paramiko,2.1.1,CentOS,
nss-sysinit,3.16.2.3,CentOS,
ansible,2.6.2,Fedora Project,
nginx,1.12.2,Fedora Project,
apr,1.4.8,CentOS,
python2-crypto,2.6.1,CentOS,
selinux-policy,3.13.1,CentOS,
libcurl,7.29.0,CentOS,
erlang-os_mon,R16B,Fedora Project,
dhcp-libs,4.2.5,CentOS,
nginx-mod-http-image-filter,1.12.2,Fedora Project,
pam,1.1.8,CentOS,
erlang-mnesia,R16B,Fedora Project,
erlang-ssl,R16B,Fedora Project,
erlang-erts,R16B,Fedora Project,
openldap,2.4.39,CentOS,
erlang-sd_notify,0.1,Fedora Project,
nss,3.16.2.3,CentOS,
os-prober,1.58,CentOS,
dnsmasq,2.66,CentOS,
yum-plugin-fastestmirror,1.1.31,CentOS,
mariadb-libs,5.5.41,CentOS,
rpm-build-libs,4.11.1,CentOS,
dmidecode,2.12,CentOS,
NetworkManager-team,1.0.0,CentOS,
kpartx,0.4.9,CentOS,
kernel-tools,3.10.0,,
libpcap,1.5.3,CentOS,
grub2-tools,2.02,,
device-mapper-libs,1.02.93,CentOS,
dhclient,4.2.5,CentOS,
libsoup,2.46.0,CentOS,
device-mapper-event-libs,1.02.93,CentOS,
numactl-libs,2.0.9,CentOS,
python2-pip,8.1.2,Fedora Project,
iwl100-firmware,39.31.5.1,CentOS,
iwl1000-firmware,39.31.5.1,CentOS,
libcom_err,1.42.9,CentOS,
elfutils-libelf,0.160,CentOS,
libxml2,2.9.1,CentOS,
nss-util,3.16.2.3,CentOS,
iwl105-firmware,18.168.6.1,CentOS,
iwl4965-firmware,228.61.2.24,CentOS,
readline,6.2,CentOS,
gawk,4.0.2,CentOS,
iwl135-firmware,18.168.6.1,CentOS,
chkconfig,1.3.61,CentOS,
pgdg-centos96,9.6,,
libcap,2.22,CentOS,
iwl7260-firmware,22.0.7.0,CentOS,
awx,1.0.2.0,AWX,
perl-Git,1.8.3.1,CentOS,
subversion,1.7.14,CentOS,
grubby,8.28,CentOS,
subversion-libs,1.7.14,CentOS,
erlang-stdlib,R16B,Fedora Project,
coreutils,8.22,CentOS,
erlang-crypto,R16B,Fedora Project,
kexec-tools,2.0.7,CentOS,
teamd,1.15,CentOS,
gnupg2,2.0.22,CentOS,
kbd-legacy,1.15.5,CentOS,
rpm-python,4.11.1,CentOS,
NetworkManager,1.0.0,CentOS,
device-mapper-event,1.02.93,CentOS,
hwdata,0.252,CentOS,
yum,3.4.3,CentOS,
NetworkManager-tui,1.0.0,CentOS,
libndp,1.2,CentOS,
wpa_supplicant,2.0,CentOS,
bind-libs-lite,9.9.4,CentOS,
irqbalance,1.0.7,CentOS,
libdrm,2.4.56,CentOS,
trousers,0.3.11.2,CentOS,
ebtables,2.0.10,CentOS,
plymouth,0.8.9,CentOS,
glib-networking,2.40.0,CentOS,
device-mapper-persistent-data,0.4.1,CentOS,
libpciaccess,0.13.1,CentOS,
iputils,20121221,CentOS,
polkit,0.112,CentOS,
vim-common,7.4.160,CentOS,
cronie,1.4.11,CentOS,
pth,2.0.7,CentOS,
gnutls,3.3.8,CentOS,
fipscheck,1.4.1,CentOS,
lvm2-libs,2.02.115,CentOS,
alsa-tools-firmware,1.0.27,CentOS,
systemd-sysv,219,CentOS,
findutils,4.5.11,CentOS,
dracut,033,CentOS,
file-libs,5.11,CentOS,
vim-minimal,7.4.160,CentOS,
make,3.82,CentOS,
ncurses,5.9,CentOS,
pciutils-libs,3.2.1,CentOS,
libss,1.42.9,CentOS,
libcroco,0.6.8,CentOS,
libtommath,0.42.0,CentOS,
gzip,1.5,CentOS,
krb5-libs,1.12.2,CentOS,
kmod-libs,14,CentOS,
rabbitmq-server,3.3.5,Fedora Project,
erlang-sasl,R16B,Fedora Project,
memcached,1.4.15,CentOS,
nginx-mod-http-geoip,1.12.2,Fedora Project,
nginx-mod-http-perl,1.12.2,Fedora Project,
rdma,7.1_3.17,CentOS,
rsyslog,7.4.7,CentOS,
erlang-xmerl,R16B,Fedora Project,
erlang-public_key,R16B,Fedora Project,
nginx-mod-mail,1.12.2,Fedora Project,
erlang-inets,R16B,Fedora Project,
nginx-mod-stream,1.12.2,Fedora Project,
libselinux-utils,2.2.2,CentOS,
nginx-filesystem,1.12.2,Fedora Project,
libnetfilter_conntrack,1.0.4,CentOS,
mozjs17,17.0.0,CentOS,
libsemanage,2.1.10,CentOS,
libssh2,1.4.3,CentOS,
libdb-utils,5.3.21,CentOS,
avahi-libs,0.6.31,CentOS,
iproute,3.10.0,CentOS,
python2-jmespath,0.9.0,CentOS,
policycoreutils,2.2.5,CentOS,
pygobject3-base,3.8.2,CentOS,
util-linux,2.23.2,CentOS,
MySQL Server 8.0,8.0.41,Oracle Corporation,
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30156,14.29.30156,Microsoft Corporation,
MySQL Examples and Samples,8.0.41,Oracle Corporation,
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30156,14.29.30156.0,Microsoft Corporation,
MySQL Installer,1.6.13.0,Oracle Corporation,
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30156,14.29.30156,Microsoft Corporation,
MySQL Shell,8.0.41,Oracle Corporation,
Apache Tomcat 10.1 Tomcat10 (remove only),10.1.28,The Apache Software Foundation,
MySQL Workbench 8.0 CE,8.0.41,Oracle Corporation,
MySQL Documents,8.0.41,Oracle Corporation,
Git,2.47.1.2,The Git Development Community,
MySQL Router 8.0,8.0.41,Oracle Corporation,
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433,14.42.34433,Microsoft Corporation,
Adobe Refresh Manager,1.8.0,Adobe Systems Incorporated,
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433,14.42.34433.0,Microsoft Corporation,
podman-plugins,4.9.4,"Red Hat, Inc.",
podman-docker,4.9.4,"Red Hat, Inc.",
instana-agent-dynamic,20241213,"Instana, Inc.",
Python 3.12.6 Executables (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.9.0 Utility Scripts (64-bit),3.9.150.0,Python Software Foundation,
Python 3.12.6 Documentation (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.12.6 Test Suite (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.9.0 Standard Library (64-bit),3.9.150.0,Python Software Foundation,
Python 3.9.0 C Runtime Library (64-bit),3.9.150.0,Python Software Foundation,
Python 3.12.6 Standard Library (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.9.0 Tcl/Tk Support (64-bit),3.9.150.0,Python Software Foundation,
Python 3.12.6 pip Bootstrap (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.12.6 Tcl/Tk Support (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.9.0 Documentation (64-bit),3.9.150.0,Python Software Foundation,
OpenLogic-OpenJDK JDK with Hotspot 11.0.25+9 (x64),11.0.25.9,OpenLogic,
Python 3.12.6 Development Libraries (64-bit),3.12.6150.0,Python Software Foundation,
Python 3.9.0 pip Bootstrap (64-bit),3.9.150.0,Python Software Foundation,
Python 3.12.6 Add to Path (64-bit),3.12.6150.0,Python Software Foundation,
